"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-01",,,,,"0.00",",,C",,,,,"28",",,C","36",",,C","20",",,C","   27",",,C",,,,,"107.4",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-02",,,,,"0.00",",,C",,,,,"29",",,C","39",",,C","20",",,C","   11",",,C",,,,,"91.7",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-03",,,,,"0.44",",,C",,,,,"36",",,C","38",",,C","35",",,C","   10",",,C",,,,,"73.8",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-04",,,,,"0.03",",,C",,,,,"27",",,C","36",",,C","17",",,C","   25",",,C",,,,,"154.3",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-05",,,,,"0.00",",,C",,,,,"17",",,C","22",",,C","12",",,C","   24",",,C",,,,,"116.3",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-06",,,,,"0.00",",,C",,,,,"13",",,C","21",",,C","5",",,C","    0",",,C",,,,,"0.0",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-07",,,,,"0.00",",,C",,,,,"10",",,C","20",",,C","0",",,C","   27",",,C",,,,,"78.3",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-08",,,,,"0.00",",,C",,,,,"9",",,C","14",",,C","5",",,C","   33",",,C",,,,,"98.4",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-09",,,,,"0.00",",,C",,,,,"20",",,C","29",",,C","11",",,C","   22",",,C",,,,,"107.4",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-10",,,,,"0.68",",,C",,,,,"36",",,C","44",",,C","27",",,C","   20",",,C",,,,,"132.0",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-11",,,,,"0.13",",,C",,,,,"39",",,C","44",",,C","34",",,C","   26",",,C",,,,,"208.0",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-12",,,,,"0.59",",,C",,,,,"36",",,C","43",",,C","29",",,C","   28",",,C",,,,,"91.7",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-13",,,,,"0.00",",,C",,,,,"20",",,C","30",",,C","11",",,C","   30",",,C",,,,,"132.0",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-14",,,,,"0.00",",,C",,,,,"18",",,C","26",",,C","10",",,C","    0",",,C",,,,,"0.0",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-15",,,,,"0.00",",,C",,,,,"24",",,C","32",",,C","16",",,C","    0",",,C",,,,,"0.0",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-16",,,,,"0.00",",,C",,,,,"26",",,C","38",",,C","13",",,C","    0",",,C",,,,,"0.0",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-17",,,,,"0.41",",,C",,,,,"29",",,C","35",",,C","25",",,C","    8",",,C",,,,,"120.8",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-18",,,,,"0.00",",,C",,,,,"35",",,C","37",",,C","33",",,C","    0",",,C",,,,,"0.0",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-19",,,,,"0.00",",,C",,,,,"36",",,C","39",",,C","34",",,C","    0",",,C",,,,,"0.0",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-20",,,,,"0.00",",,C",,,,,"37",",,C","40",",,C","35",",,C","   10",",,C",,,,,"82.8",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-21",,,,,"0.00",",,C",,,,,"38",",,C","42",",,C","35",",,C","    0",",,C",,,,,"0.0",",,C"
"CA006155875","OSHAWA, ON CA","43.9167","-78.8833","140.0","2017-01-22",,,,,"0.00",",,C",,,,,"40",",,C","45",",,C","35",",,C","    9",",,C",,,,,"73.8",",,C"
